Region,Category,State,Brand,Store,Order Type,Payment Method,Time,Total Orders,Gross Sales,Discount Amount,Disc Percent,Net Sales,COGS,Gross Margin Amount,Gross Margin %,Net Margin Amount,Net Margin %,Avg Order to Req Days,Avg Order to Delivery Days,Avg Order Value
East,Cameras,Assam,Canon,Tinsukia,Website,Credit Card,Sep-2012,1.0,26000.0,1820.0,7.000000000000001,24180.0,16900.0,9100.0,35.0,7280.0,30.107526881720432,4.0,4.0,26000.0
East,Cameras,Assam,Casio,Tinsukia,Contact Center,Credit Card EMI,Jun-2012,1.0,12000.0,1320.0,11.0,10680.0,9000.0,3000.0,25.0,1680.0,15.730337078651685,1.0,7.0,12000.0
East,Cameras,Assam,Fujifilm,Guwahati,Catalogue,Gift Coupons,May-2012,1.0,10000.0,600.0,6.0,9400.0,7000.0,3000.0,30.0,2400.0,25.53191489361702,1.0,4.0,10000.0
East,Cameras,Assam,Fujifilm,Guwahati,Contact Center,Debit Card,Jul-2012,1.0,11000.0,770.0,7.000000000000001,10230.0,7150.0,3850.0,35.0,3080.0,30.107526881720432,6.0,11.0,11000.0
East,Cameras,Assam,Fujifilm,Tinsukia,Contact Center,Debit Card,Aug-2012,1.0,4500.0,315.0,7.000000000000001,4185.0,3375.0,1125.0,25.0,810.0,19.35483870967742,7.0,11.0,4500.0
East,Cameras,Assam,Fujifilm,Tinsukia,Contact Center,Gift Coupons,Oct-2012,1.0,9000.0,630.0,7.000000000000001,8370.0,5400.0,3600.0,40.0,2970.0,35.483870967741936,1.0,1.0,9000.0
East,Cameras,Assam,Fujifilm,Tinsukia,Contact Center,Net Banking,Mar-2012,1.0,5500.0,330.0,6.0,5170.0,3850.0,1650.0,30.0,1320.0,25.53191489361702,7.0,10.0,5500.0
East,Cameras,Assam,Kingston,Guwahati,Contact Center,Cash on Delivery,Mar-2012,1.0,355.0,21.3,6.0,334.0,248.5,106.5,30.0,85.2,25.508982035928145,4.0,10.0,355.0
East,Cameras,Assam,Moserbaer,Guwahati,Contact Center,Cash on Delivery,Feb-2012,1.0,1100.0,253.0,23.0,847.0,715.0,385.0,35.0,132.0,15.584415584415584,1.0,11.0,1100.0
East,Cameras,Assam,Moserbaer,Tinsukia,Contact Center,Credit Card,Jan-2012,1.0,315.0,66.15,21.0,249.0,289.8,25.2,8.0,-41.0,-16.46586345381526,7.0,15.0,315.0
East,Cameras,Assam,Nikon,Guwahati,Catalogue,Net Banking,Mar-2012,1.0,24000.0,2880.0,12.0,21120.0,16800.0,7200.0,30.0,4320.0,20.454545454545457,4.0,13.0,24000.0
East,Cameras,Assam,Nikon,Guwahati,Contact Center,Gift Coupons,Sep-2012,1.0,9000.0,720.0,8.0,8280.0,6750.0,2250.0,25.0,1530.0,18.478260869565215,5.0,15.0,9000.0
East,Cameras,Assam,Nikon,Tinsukia,Website,Debit Card,Jan-2012,1.0,6000.0,720.0,12.0,5280.0,4200.0,1800.0,30.0,1080.0,20.454545454545457,4.0,13.0,6000.0
East,Cameras,Assam,Panasonic,Guwahati,Catalogue,Gift Coupons,Apr-2012,1.0,14000.0,4480.0,32.0,9520.0,9800.0,4200.0,30.0,-280.0,-2.941176470588235,5.0,15.0,14000.0
East,Cameras,Assam,Panasonic,Guwahati,Catalogue,Net Banking,Aug-2012,1.0,62000.0,5580.0,9.0,56420.0,37200.0,24800.0,40.0,19220.0,34.065934065934066,7.0,10.0,62000.0
East,Cameras,Assam,Panasonic,Tinsukia,Contact Center,Debit Card,Feb-2012,1.0,31000.0,6200.0,20.0,24800.0,21700.0,9300.0,30.0,3100.0,12.5,5.0,9.0,31000.0
East,Cameras,Assam,Philips,Guwahati,Catalogue,Debit Card,Dec-2012,1.0,12000.0,840.0,7.000000000000001,11160.0,7800.0,4200.0,35.0,3360.0,30.107526881720432,4.0,10.0,12000.0
East,Cameras,Assam,Samsung,Guwahati,Catalogue,Credit Card,Feb-2012,1.0,11000.0,2310.0,21.0,8690.0,6600.0,4400.0,40.0,2090.0,24.050632911392405,1.0,1.0,11000.0
East,Cameras,Assam,Samsung,Guwahati,Catalogue,Credit Card EMI,Nov-2012,1.0,1000.0,70.0,7.000000000000001,930.0,700.0,300.0,30.0,230.0,24.731182795698924,10.0,16.0,1000.0
East,Cameras,Assam,Samsung,Guwahati,Contact Center,Cash on Delivery,Dec-2012,1.0,15000.0,3600.0,24.0,11400.0,10500.0,4500.0,30.0,900.0,7.894736842105263,5.0,8.0,15000.0
East,Cameras,Assam,Samsung,Guwahati,Contact Center,Credit Card,Feb-2012,1.0,19000.0,3990.0,21.0,15010.0,15200.0,3800.0,20.0,-190.0,-1.2658227848101267,1.0,11.0,19000.0
East,Cameras,Assam,Samsung,Guwahati,Website,Credit Card,Sep-2012,1.0,13000.0,910.0,7.000000000000001,12090.0,9100.0,3900.0,30.0,2990.0,24.731182795698924,3.0,6.0,13000.0
East,Cameras,Assam,Samsung,Tinsukia,Contact Center,Credit Card,Aug-2012,1.0,9000.0,540.0,6.0,8460.0,8100.0,900.0,10.0,360.0,4.25531914893617,3.0,3.0,9000.0
East,Cameras,Assam,Samsung,Tinsukia,Website,Credit Card,May-2012,1.0,10000.0,600.0,6.0,9400.0,6000.0,4000.0,40.0,3400.0,36.17021276595745,5.0,7.0,10000.0
East,Cameras,Assam,Samsung,Tinsukia,Website,Debit Card,May-2012,1.0,12000.0,1440.0,12.0,10560.0,7200.0,4800.0,40.0,3360.0,31.818181818181817,7.0,15.0,12000.0
East,Cameras,Assam,Sandisk,Guwahati,Catalogue,Debit Card,Nov-2012,1.0,5000.0,350.0,7.000000000000001,4650.0,3250.0,1750.0,35.0,1400.0,30.107526881720432,10.0,20.0,5000.0
East,Cameras,Assam,Sandisk,Guwahati,Contact Center,Credit Card EMI,Jun-2012,1.0,9000.0,1080.0,12.0,7920.0,7650.0,1350.0,15.0,270.0,3.4090909090909087,7.0,7.0,9000.0
East,Cameras,Assam,Sandisk,Guwahati,Website,Net Banking,Oct-2012,1.0,450.0,31.5,7.000000000000001,419.0,247.5,202.5,45.0,171.0,40.81145584725537,5.0,15.0,450.0
East,Cameras,Assam,Sandisk,Tinsukia,Contact Center,Credit Card,Sep-2012,1.0,3000.0,720.0,24.0,2280.0,2100.0,900.0,30.0,180.0,7.894736842105263,7.0,13.0,3000.0
East,Cameras,Assam,Sandisk,Tinsukia,Contact Center,Net Banking,Apr-2012,1.0,3400.0,238.0,7.000000000000001,3162.0,2040.0,1360.0,40.0,1122.0,35.483870967741936,1.0,5.0,3400.0
East,Cameras,Assam,Sony,Guwahati,Catalogue,Cash on Delivery,Jul-2012,1.0,13000.0,1690.0,13.0,11310.0,7150.0,5850.0,45.0,4160.0,36.7816091954023,9.0,17.0,13000.0
East,Cameras,Assam,Sony,Guwahati,Catalogue,Gift Coupons,Aug-2012,1.0,10000.0,700.0,7.000000000000001,9300.0,8800.0,1200.0,12.0,500.0,5.376344086021505,1.0,4.0,10000.0
East,Cameras,Assam,Sony,Guwahati,Contact Center,Credit Card EMI,Dec-2012,1.0,900.0,72.0,8.0,828.0,630.0,270.0,30.0,198.0,23.91304347826087,10.0,19.0,900.0
East,Cameras,Assam,Sony,Guwahati,Contact Center,Gift Coupons,Feb-2012,1.0,32000.0,3840.0,12.0,28160.0,19200.0,12800.0,40.0,8960.0,31.818181818181817,1.0,7.0,32000.0
East,Cameras,Assam,Sony,Guwahati,Contact Center,Net Banking,Apr-2012,1.0,64000.0,5120.0,8.0,58880.0,48000.0,16000.0,25.0,10880.0,18.478260869565215,4.0,4.0,64000.0
East,Cameras,Assam,Sony,Guwahati,Others,Debit Card,Jun-2012,1.0,17000.0,5950.0,35.0,11050.0,11900.0,5100.0,30.0,-850.0,-7.6923076923076925,4.0,5.0,17000.0
East,Cameras,Assam,Sony,Guwahati,Others,Net Banking,Oct-2012,1.0,9000.0,630.0,7.000000000000001,8370.0,6300.0,2700.0,30.0,2070.0,24.731182795698924,4.0,12.0,9000.0
East,Cameras,Assam,Sony,Guwahati,Website,Credit Card EMI,Feb-2012,1.0,2700.0,621.0,23.0,2079.0,2376.0,324.0,12.0,-297.0,-14.285714285714285,4.0,5.0,2700.0
East,Cameras,Assam,Sony,Tinsukia,Contact Center,Cash on Delivery,May-2012,1.0,2300.0,460.0,20.0,1840.0,1265.0,1035.0,45.0,575.0,31.25,7.0,7.0,2300.0
East,Cameras,Assam,Sony,Tinsukia,Others,Gift Coupons,Feb-2012,1.0,10000.0,400.0,4.0,9600.0,7000.0,3000.0,30.0,2600.0,27.083333333333332,1.0,1.0,10000.0
East,Cameras,Assam,Sony,Tinsukia,Others,Net Banking,Nov-2012,1.0,700.0,77.0,11.0,623.0,490.0,210.0,30.0,133.0,21.34831460674157,5.0,7.0,700.0
East,Cameras,Assam,Sony,Tinsukia,Website,Gift Coupons,Jun-2012,1.0,700.0,161.0,23.0,539.0,595.0,105.0,15.0,-56.0,-10.38961038961039,9.0,11.0,700.0
East,Cameras,Assam,Sony,Tinsukia,Website,Gift Coupons,Sep-2012,1.0,20000.0,1600.0,8.0,18400.0,15000.0,5000.0,25.0,3400.0,18.478260869565215,9.0,13.0,20000.0
East,Cameras,Assam,Transcend,Guwahati,Contact Center,Credit Card,Nov-2012,1.0,475.0,28.5,6.0,447.0,427.5,47.5,10.0,19.0,4.250559284116331,7.0,7.0,475.0
East,Cameras,Bihar,Aiptek,Patna,Website,Credit Card EMI,Sep-2012,1.0,12000.0,840.0,7.000000000000001,11160.0,9000.0,3000.0,25.0,2160.0,19.35483870967742,9.0,12.0,12000.0
East,Cameras,Bihar,Aiptek,Patna,Website,Gift Coupons,Apr-2012,1.0,5000.0,1200.0,24.0,3800.0,3500.0,1500.0,30.0,300.0,7.894736842105263,9.0,9.0,5000.0
East,Cameras,Bihar,Aiptek,Sambalpur,Website,Debit Card,Sep-2012,1.0,7000.0,490.0,7.000000000000001,6510.0,4900.0,2100.0,30.0,1610.0,24.731182795698924,10.0,10.0,7000.0
East,Cameras,Bihar,Aiptek,Sambalpur,Website,Gift Coupons,Jan-2012,1.0,11000.0,2750.0,25.0,8250.0,9350.0,1650.0,15.0,-1100.0,-13.333333333333334,1.0,5.0,11000.0
East,Cameras,Bihar,Canon,Patna,Catalogue,Debit Card,Jun-2012,1.0,24000.0,2880.0,12.0,21120.0,16800.0,7200.0,30.0,4320.0,20.454545454545457,1.0,4.0,24000.0
East,Cameras,Bihar,Canon,Patna,Website,Credit Card,Oct-2012,1.0,54000.0,3780.0,7.000000000000001,50220.0,37800.0,16200.0,30.0,12420.0,24.731182795698924,4.0,12.0,54000.0
East,Cameras,Bihar,Canon,Sambalpur,Catalogue,Gift Coupons,Mar-2012,1.0,40000.0,2400.0,6.0,37600.0,30000.0,10000.0,25.0,7600.0,20.212765957446805,1.0,1.0,40000.0
East,Cameras,Bihar,Canon,Sambalpur,Catalogue,Net Banking,Mar-2012,1.0,62000.0,7440.0,12.0,54560.0,43400.0,18600.0,30.0,11160.0,20.454545454545457,7.0,7.0,62000.0
East,Cameras,Bihar,Canon,Sambalpur,Contact Center,Credit Card,Aug-2012,1.0,48000.0,5760.0,12.0,42240.0,33600.0,14400.0,30.0,8640.0,20.454545454545457,9.0,9.0,48000.0
East,Cameras,Bihar,Canon,Sambalpur,Contact Center,Debit Card,Nov-2012,1.0,11000.0,770.0,7.000000000000001,10230.0,7150.0,3850.0,35.0,3080.0,30.107526881720432,7.0,13.0,11000.0
East,Cameras,Bihar,Fujifilm,Patna,Contact Center,Credit Card,Feb-2012,1.0,10000.0,1500.0,15.0,8500.0,7500.0,2500.0,25.0,1000.0,11.76470588235294,4.0,7.0,10000.0
East,Cameras,Bihar,Fujifilm,Sambalpur,Contact Center,Cash on Delivery,Feb-2012,1.0,7000.0,840.0,12.0,6160.0,4900.0,2100.0,30.0,1260.0,20.454545454545457,5.0,7.0,7000.0
East,Cameras,Bihar,Moserbaer,Patna,Catalogue,Credit Card EMI,Aug-2012,1.0,425.0,42.5,10.0,383.0,276.3,148.8,35.01176470588236,106.3,27.75456919060052,7.0,8.0,425.0
East,Cameras,Bihar,Moserbaer,Sambalpur,Catalogue,Cash on Delivery,Aug-2012,1.0,425.0,34.0,8.0,391.0,297.5,127.5,30.0,93.5,23.91304347826087,1.0,6.0,425.0
East,Cameras,Bihar,Nikon,Sambalpur,Website,Debit Card,Feb-2012,1.0,10000.0,1100.0,11.0,8900.0,7000.0,3000.0,30.0,1900.0,21.34831460674157,9.0,19.0,10000.0
East,Cameras,Bihar,Panasonic,Patna,Catalogue,Debit Card,May-2012,1.0,47000.0,21150.0,45.0,25850.0,25850.0,21150.0,45.0,0.0,0.0,4.0,8.0,47000.0
East,Cameras,Bihar,Panasonic,Patna,Catalogue,Net Banking,Oct-2012,1.0,24000.0,1680.0,7.000000000000001,22320.0,14400.0,9600.0,40.0,7920.0,35.483870967741936,9.0,9.0,24000.0
East,Cameras,Bihar,Panasonic,Patna,Contact Center,Debit Card,Feb-2012,1.0,80000.0,9600.0,12.0,70400.0,73600.0,6400.0,8.0,-3200.0,-4.545454545454546,9.0,9.0,80000.0
East,Cameras,Bihar,Panasonic,Patna,Website,Net Banking,Apr-2012,1.0,47000.0,5170.0,11.0,41830.0,28200.0,18800.0,40.0,13630.0,32.58426966292135,7.0,13.0,47000.0
East,Cameras,Bihar,Philips,Patna,Contact Center,Gift Coupons,Sep-2012,1.0,7000.0,420.0,6.0,6580.0,5600.0,1400.0,20.0,980.0,14.893617021276595,1.0,3.0,7000.0
East,Cameras,Bihar,Philips,Sambalpur,Website,Gift Coupons,Dec-2012,1.0,4000.0,480.0,12.0,3520.0,2800.0,1200.0,30.0,720.0,20.454545454545457,4.0,8.0,4000.0
East,Cameras,Bihar,Samsung,Patna,Website,Debit Card,Sep-2012,1.0,15000.0,900.0,6.0,14100.0,13500.0,1500.0,10.0,600.0,4.25531914893617,4.0,12.0,15000.0
East,Cameras,Bihar,Samsung,Patna,Website,Gift Coupons,Feb-2012,1.0,14000.0,5600.0,40.0,8400.0,7700.0,6300.0,45.0,700.0,8.333333333333332,4.0,4.0,14000.0
East,Cameras,Bihar,Samsung,Sambalpur,Contact Center,Cash on Delivery,Oct-2012,1.0,7000.0,560.0,8.0,6440.0,4900.0,2100.0,30.0,1540.0,23.91304347826087,7.0,8.0,7000.0
East,Cameras,Bihar,Sandisk,Patna,Contact Center,Cash on Delivery,Apr-2012,1.0,1500.0,195.0,13.0,1305.0,1050.0,450.0,30.0,255.0,19.54022988505747,7.0,15.0,1500.0
East,Cameras,Bihar,Sandisk,Patna,Website,Cash on Delivery,Nov-2012,1.0,4000.0,280.0,7.000000000000001,3720.0,3680.0,320.0,8.0,40.0,1.0752688172043012,7.0,11.0,4000.0
East,Cameras,Bihar,Sandisk,Patna,Website,Credit Card EMI,Jan-2012,1.0,6695.0,1606.8,24.0,5088.0,5891.6,803.4,12.0,-803.4,-15.790094339622641,4.0,4.0,6695.0
East,Cameras,Bihar,Sandisk,Patna,Website,Gift Coupons,Dec-2012,1.0,3400.0,272.0,8.0,3128.0,2380.0,1020.0,30.0,748.0,23.91304347826087,5.0,9.0,3400.0
East,Cameras,Bihar,Sandisk,Sambalpur,Contact Center,Credit Card,Jun-2012,1.0,1600.0,512.0,32.0,1088.0,1360.0,240.0,15.0,-272.0,-25.0,5.0,15.0,1600.0
East,Cameras,Bihar,Sandisk,Sambalpur,Website,Credit Card EMI,May-2012,1.0,8000.0,960.0,12.0,7040.0,6000.0,2000.0,25.0,1040.0,14.772727272727273,1.0,7.0,8000.0
East,Cameras,Bihar,Sandisk,Sambalpur,Website,Credit Card EMI,Oct-2012,1.0,700.0,84.0,12.0,616.0,420.0,280.0,40.0,196.0,31.818181818181817,7.0,8.0,700.0
East,Cameras,Bihar,Sony,Patna,Catalogue,Net Banking,Sep-2012,1.0,700.0,49.0,7.000000000000001,651.0,455.0,245.0,35.0,196.0,30.107526881720432,10.0,15.0,700.0
East,Cameras,Bihar,Sony,Patna,Contact Center,Net Banking,Feb-2012,1.0,1850.0,388.5,21.0,1462.0,1387.5,462.5,25.0,74.0,5.06155950752394,4.0,9.0,1850.0
East,Cameras,Bihar,Sony,Patna,Website,Gift Coupons,May-2012,1.0,41000.0,2460.0,6.0,38540.0,24600.0,16400.0,40.0,13940.0,36.17021276595745,4.0,4.0,41000.0
East,Cameras,Bihar,Sony,Sambalpur,Contact Center,Credit Card,Jun-2012,1.0,9000.0,1170.0,13.0,7830.0,6300.0,2700.0,30.0,1530.0,19.54022988505747,4.0,9.0,9000.0
East,Cameras,Bihar,Sony,Sambalpur,Contact Center,Net Banking,Apr-2012,1.0,48000.0,3840.0,8.0,44160.0,31200.0,16800.0,35.0,12960.0,29.347826086956523,1.0,5.0,48000.0
East,Cameras,Bihar,Sony,Sambalpur,Others,Cash on Delivery,Nov-2012,1.0,41000.0,3280.0,8.0,37720.0,30750.0,10250.0,25.0,6970.0,18.478260869565215,7.0,7.0,41000.0
East,Cameras,Bihar,Sony,Sambalpur,Website,Debit Card,May-2012,1.0,10000.0,800.0,8.0,9200.0,6500.0,3500.0,35.0,2700.0,29.347826086956523,7.0,17.0,10000.0
East,Cameras,Bihar,Sony,Sambalpur,Website,Gift Coupons,Aug-2012,1.0,11000.0,660.0,6.0,10340.0,9680.0,1320.0,12.0,660.0,6.382978723404255,10.0,10.0,11000.0
East,Cameras,Bihar,Transcend,Sambalpur,Catalogue,Gift Coupons,Apr-2012,1.0,6800.0,408.0,6.0,6392.0,4420.0,2380.0,35.0,1972.0,30.851063829787233,4.0,4.0,6800.0
East,Cameras,Jharkhand,Aiptek,Jamshedpur,Contact Center,Debit Card,Oct-2012,1.0,10000.0,500.0,5.0,9500.0,6500.0,3500.0,35.0,3000.0,31.57894736842105,10.0,13.0,10000.0
East,Cameras,Jharkhand,Aiptek,Ranchi,Contact Center,Credit Card EMI,Apr-2012,1.0,4000.0,920.0,23.0,3080.0,2600.0,1400.0,35.0,480.0,15.584415584415584,4.0,4.0,4000.0
East,Cameras,Jharkhand,Aiptek,Ranchi,Website,Net Banking,Aug-2012,1.0,11000.0,880.0,8.0,10120.0,7700.0,3300.0,30.0,2420.0,23.91304347826087,4.0,10.0,11000.0
East,Cameras,Jharkhand,Canon,Jamshedpur,Contact Center,Credit Card,Jan-2012,1.0,13000.0,2730.0,21.0,10270.0,7150.0,5850.0,45.0,3120.0,30.37974683544304,1.0,4.0,13000.0
East,Cameras,Jharkhand,Canon,Ranchi,Contact Center,Credit Card,Jun-2012,1.0,21000.0,630.0,3.0,20370.0,11550.0,9450.0,45.0,8820.0,43.29896907216495,1.0,4.0,21000.0
East,Cameras,Jharkhand,Canon,Ranchi,Contact Center,Gift Coupons,Feb-2012,1.0,17000.0,2040.0,12.0,14960.0,11900.0,5100.0,30.0,3060.0,20.454545454545457,4.0,6.0,17000.0
East,Cameras,Jharkhand,Canon,Ranchi,Contact Center,Gift Coupons,Oct-2012,1.0,24000.0,1440.0,6.0,22560.0,14400.0,9600.0,40.0,8160.0,36.17021276595745,5.0,10.0,24000.0
East,Cameras,Jharkhand,Fujifilm,Jamshedpur,Contact Center,Credit Card,Jan-2012,1.0,4500.0,945.0,21.0,3555.0,2925.0,1575.0,35.0,630.0,17.72151898734177,4.0,5.0,4500.0
East,Cameras,Jharkhand,Moserbaer,Jamshedpur,Catalogue,Credit Card,Jul-2012,1.0,2100.0,168.0,8.0,1932.0,1470.0,630.0,30.0,462.0,23.91304347826087,4.0,4.0,2100.0
East,Cameras,Jharkhand,Moserbaer,Ranchi,Contact Center,Net Banking,Aug-2012,1.0,315.0,37.8,12.0,277.0,220.5,94.5,30.0,56.7,20.469314079422386,10.0,10.0,315.0
East,Cameras,Jharkhand,Moserbaer,Ranchi,Website,Credit Card EMI,Dec-2012,1.0,1150.0,80.5,7.000000000000001,1070.0,632.5,517.5,45.0,437.0,40.8411214953271,4.0,7.0,1150.0
East,Cameras,Jharkhand,Moserbaer,Ranchi,Website,Net Banking,Jan-2012,1.0,1050.0,220.5,21.0,830.0,945.0,105.0,10.0,-115.5,-13.915662650602409,10.0,11.0,1050.0
East,Cameras,Jharkhand,Panasonic,Jamshedpur,Others,Net Banking,Jun-2012,1.0,65000.0,19500.0,30.0,45500.0,55250.0,9750.0,15.0,-9750.0,-21.428571428571427,4.0,4.0,65000.0
East,Cameras,Jharkhand,Panasonic,Ranchi,Catalogue,Cash on Delivery,Oct-2012,1.0,21000.0,1260.0,6.0,19740.0,15750.0,5250.0,25.0,3990.0,20.212765957446805,9.0,10.0,21000.0
East,Cameras,Jharkhand,Panasonic,Ranchi,Catalogue,Credit Card,May-2012,1.0,40000.0,14000.0,35.0,26000.0,26000.0,14000.0,35.0,0.0,0.0,5.0,8.0,40000.0
East,Cameras,Jharkhand,Panasonic,Ranchi,Contact Center,Cash on Delivery,May-2012,1.0,40000.0,8000.0,20.0,32000.0,30000.0,10000.0,25.0,2000.0,6.25,10.0,20.0,40000.0
East,Cameras,Jharkhand,Panasonic,Ranchi,Contact Center,Credit Card,Jan-2012,1.0,31000.0,9920.0,32.0,21080.0,27900.0,3100.0,10.0,-6820.0,-32.35294117647059,4.0,4.0,31000.0
East,Cameras,Jharkhand,Philips,Jamshedpur,Website,Debit Card,May-2012,1.0,12000.0,840.0,7.000000000000001,11160.0,8400.0,3600.0,30.0,2760.0,24.731182795698924,2.0,11.0,12000.0
East,Cameras,Jharkhand,Philips,Ranchi,Website,Cash on Delivery,Sep-2012,1.0,4000.0,280.0,7.000000000000001,3720.0,2600.0,1400.0,35.0,1120.0,30.107526881720432,1.0,5.0,4000.0
East,Cameras,Jharkhand,Samsung,Ranchi,Contact Center,Credit Card,Sep-2012,1.0,13000.0,1040.0,8.0,11960.0,11050.0,1950.0,15.0,910.0,7.608695652173914,4.0,9.0,13000.0
East,Cameras,Jharkhand,Sandisk,Jamshedpur,Catalogue,Cash on Delivery,Mar-2012,1.0,10000.0,1000.0,10.0,9000.0,7000.0,3000.0,30.0,2000.0,22.22222222222222,6.0,8.0,10000.0
East,Cameras,Jharkhand,Sandisk,Jamshedpur,Contact Center,Credit Card,Nov-2012,1.0,13500.0,810.0,6.0,12690.0,10125.0,3375.0,25.0,2565.0,20.212765957446805,1.0,3.0,13500.0
East,Cameras,Jharkhand,Sandisk,Ranchi,Catalogue,Debit Card,Apr-2012,1.0,1600.0,176.0,11.0,1424.0,880.0,720.0,45.0,544.0,38.20224719101123,10.0,15.0,1600.0
East,Cameras,Jharkhand,Sandisk,Ranchi,Contact Center,Cash on Delivery,Feb-2012,1.0,13500.0,2835.0,21.0,10665.0,9450.0,4050.0,30.0,1215.0,11.39240506329114,4.0,7.0,13500.0
East,Cameras,Jharkhand,Sandisk,Ranchi,Website,Debit Card,Nov-2012,1.0,1100.0,77.0,7.000000000000001,1023.0,990.0,110.0,10.0,33.0,3.225806451612903,4.0,7.0,1100.0
East,Cameras,Jharkhand,Sony,Jamshedpur,Contact Center,Credit Card,Jun-2012,1.0,1400.0,336.0,24.0,1064.0,980.0,420.0,30.0,84.0,7.894736842105263,10.0,12.0,1400.0
East,Cameras,Jharkhand,Sony,Jamshedpur,Contact Center,Gift Coupons,Apr-2012,1.0,700.0,77.0,11.0,623.0,420.0,280.0,40.0,203.0,32.58426966292135,10.0,10.0,700.0
East,Cameras,Jharkhand,Sony,Jamshedpur,Website,Credit Card EMI,Jul-2012,1.0,48000.0,2400.0,5.0,45600.0,33600.0,14400.0,30.0,12000.0,26.31578947368421,10.0,18.0,48000.0
East,Cameras,Jharkhand,Sony,Jamshedpur,Website,Debit Card,Sep-2012,1.0,900.0,63.0,7.000000000000001,837.0,630.0,270.0,30.0,207.0,24.731182795698924,4.0,6.0,900.0
East,Cameras,Jharkhand,Sony,Ranchi,Catalogue,Cash on Delivery,Sep-2012,1.0,500.0,40.0,8.0,460.0,350.0,150.0,30.0,110.0,23.91304347826087,9.0,12.0,500.0
East,Cameras,Jharkhand,Sony,Ranchi,Contact Center,Cash on Delivery,Mar-2012,1.0,30000.0,2700.0,9.0,27300.0,19500.0,10500.0,35.0,7800.0,28.57142857142857,7.0,13.0,30000.0
East,Cameras,Jharkhand,Sony,Ranchi,Contact Center,Credit Card EMI,May-2012,1.0,32000.0,2240.0,7.000000000000001,29760.0,24000.0,8000.0,25.0,5760.0,19.35483870967742,4.0,10.0,32000.0
East,Cameras,Orissa,Aiptek,Bhubaneswar,Contact Center,Cash on Delivery,Oct-2012,1.0,10000.0,700.0,7.000000000000001,9300.0,7000.0,3000.0,30.0,2300.0,24.731182795698924,9.0,12.0,10000.0
East,Cameras,Orissa,Aiptek,Bhubaneswar,Contact Center,Credit Card EMI,Jan-2012,1.0,3000.0,630.0,21.0,2370.0,2100.0,900.0,30.0,270.0,11.39240506329114,4.0,4.0,3000.0
East,Cameras,Orissa,Aiptek,Bhubaneswar,Contact Center,Debit Card,Nov-2012,1.0,7000.0,560.0,8.0,6440.0,3850.0,3150.0,45.0,2590.0,40.21739130434783,10.0,18.0,7000.0
East,Cameras,Orissa,Aiptek,Bhubaneswar,Contact Center,Net Banking,Jul-2012,1.0,3000.0,690.0,23.0,2310.0,2100.0,900.0,30.0,210.0,9.090909090909092,4.0,7.0,3000.0
East,Cameras,Orissa,Canon,Bhubaneswar,Catalogue,Cash on Delivery,Feb-2012,1.0,30000.0,3600.0,12.0,26400.0,19500.0,10500.0,35.0,6900.0,26.136363636363637,2.0,2.0,30000.0
